연도,분기,가해운전자 연령대,건수,비율,중대사고비율
2016,1,20세 이하,157,5.380397532556545,19.10828025477707
2016,1,21-30세,416,14.256339958875945,31.73076923076923
2016,1,31-40세,478,16.381082933516105,31.171548117154813
2016,1,41-50세,672,23.029472241261136,31.994047619047617
2016,1,51-60세,705,24.160383824537355,32.90780141843971
2016,1,61-64세,202,6.922549691569568,33.16831683168317
2016,1,65세 이상,288,9.869773817683344,31.25
2016,2,20세 이하,187,5.851063829787234,27.807486631016044
2016,2,21-30세,471,14.737171464330412,30.78556263269639
2016,2,31-40세,495,15.48811013767209,30.707070707070706
2016,2,41-50세,683,21.370463078848562,33.08931185944363
2016,2,51-60세,777,24.311639549436794,32.56113256113256
2016,2,61-64세,210,6.570713391739674,34.76190476190476
2016,2,65세 이상,373,11.670838548185232,33.78016085790885
2016,3,20세 이하,179,5.8611656843483955,29.05027932960894
2016,3,21-30세,458,14.996725605762935,35.1528384279476
2016,3,31-40세,470,15.389652914210872,28.085106382978726
2016,3,41-50세,628,20.563195808775376,34.554140127388536
2016,3,51-60세,704,23.051735428945644,29.97159090909091
2016,3,61-64세,238,7.7930582842174205,36.554621848739494
2016,3,65세 이상,377,12.344466273739359,31.03448275862069
2016,4,20세 이하,154,4.782608695652174,23.376623376623375
2016,4,21-30세,456,14.161490683229813,32.89473684210527
2016,4,31-40세,502,15.590062111801242,33.86454183266932
2016,4,41-50세,706,21.925465838509318,35.977337110481585
2016,4,51-60세,747,23.198757763975156,34.805890227576974
2016,4,61-64세,269,8.354037267080745,32.71375464684015
2016,4,65세 이상,386,11.987577639751553,36.01036269430052
2017,1,20세 이하,134,4.761904761904762,23.134328358208954
2017,1,21-30세,434,15.422885572139302,27.880184331797235
2017,1,31-40세,417,14.818763326226012,35.25179856115108
2017,1,41-50세,571,20.291400142146408,33.62521891418564
2017,1,51-60세,686,24.378109452736318,33.6734693877551
2017,1,61-64세,220,7.818052594171997,30.909090909090907
2017,1,65세 이상,352,12.508884150675195,36.36363636363637
2017,2,20세 이하,145,4.709321208184476,24.137931034482758
2017,2,21-30세,462,15.004871711594673,29.43722943722944
2017,2,31-40세,484,15.7193894121468,32.02479338842975
2017,2,41-50세,629,20.428710620331277,31.79650238473768
2017,2,51-60세,753,24.45599220526145,33.46613545816733
2017,2,61-64세,230,7.469957778499513,33.47826086956522
2017,2,65세 이상,376,12.211757063981812,34.308510638297875
2017,3,20세 이하,151,4.786053882725832,21.85430463576159
2017,3,21-30세,460,14.580031695721077,31.08695652173913
2017,3,31-40세,492,15.594294770206021,34.756097560975604
2017,3,41-50세,619,19.619651347068146,32.14862681744749
2017,3,51-60세,797,25.26148969889065,31.242158092848182
2017,3,61-64세,246,7.797147385103011,33.33333333333333
2017,3,65세 이상,390,12.361331220285262,33.589743589743584
2017,4,20세 이하,140,4.264392324093817,25.71428571428571
2017,4,21-30세,479,14.590313737435274,27.348643006263046
2017,4,31-40세,481,14.651233627779469,28.482328482328484
2017,4,41-50세,668,20.347243374961927,33.38323353293413
2017,4,51-60세,809,24.64209564422784,34.2398022249691
2017,4,61-64세,301,9.168443496801707,30.564784053156146
2017,4,65세 이상,405,12.336277794699969,28.39506172839506
2018,1,20세 이하,100,3.53356890459364,27.0
2018,1,21-30세,402,14.20494699646643,28.60696517412935
2018,1,31-40세,394,13.922261484098941,30.710659898477154
2018,1,41-50세,535,18.90459363957597,28.971962616822427
2018,1,51-60세,727,25.68904593639576,30.81155433287483
2018,1,61-64세,270,9.540636042402827,32.96296296296296
2018,1,65세 이상,402,14.20494699646643,31.8407960199005
2018,2,20세 이하,138,4.287045666356011,19.565217391304348
2018,2,21-30세,476,14.787200994097546,31.30252100840336
2018,2,31-40세,485,15.066790928859893,29.690721649484537
2018,2,41-50세,629,19.54022988505747,33.227344992050874
2018,2,51-60세,771,23.951537744641193,27.756160830090792
2018,2,61-64세,278,8.636222429325878,26.258992805755394
2018,2,65세 이상,442,13.730972351662007,29.185520361990953
2018,3,20세 이하,133,4.1074737492279185,21.052631578947366
2018,3,21-30세,457,14.113650401482397,28.227571115973742
2018,3,31-40세,506,15.626930203829525,28.85375494071146
2018,3,41-50세,604,18.65348980852378,25.82781456953642
2018,3,51-60세,795,24.55219271155034,32.075471698113205
2018,3,61-64세,291,8.987029030265596,34.36426116838488
2018,3,65세 이상,452,13.959234095120445,30.973451327433626
2018,4,20세 이하,98,2.9978586723768736,19.387755102040817
2018,4,21-30세,494,15.111654940348732,27.327935222672068
2018,4,31-40세,482,14.744570204955643,30.70539419087137
2018,4,41-50세,665,20.342612419700217,29.47368421052631
2018,4,51-60세,786,24.044050168247168,31.170483460559794
2018,4,61-64세,298,9.115937595594984,30.536912751677853
2018,4,65세 이상,446,13.643315998776384,32.28699551569507
2019,1,20세 이하,118,3.866317169069463,27.966101694915253
2019,1,21-30세,435,14.25294888597641,24.597701149425287
2019,1,31-40세,469,15.36697247706422,27.718550106609808
2019,1,41-50세,565,18.512450851900393,28.67256637168142
2019,1,51-60세,746,24.442988204456096,28.150134048257375
2019,1,61-64세,260,8.51900393184797,31.153846153846153
2019,1,65세 이상,459,15.039318479685452,25.272331154684096
2019,2,20세 이하,131,3.64293659621802,20.610687022900763
2019,2,21-30세,525,14.599555061179087,31.047619047619047
2019,2,31-40세,493,13.709677419354838,25.15212981744422
2019,2,41-50세,736,20.467185761957733,25.0
2019,2,51-60세,898,24.97219132369299,28.73051224944321
2019,2,61-64세,295,8.203559510567297,28.135593220338983
2019,2,65세 이상,518,14.404894327030032,28.957528957528954
2019,3,20세 이하,134,3.905566890119499,23.134328358208954
2019,3,21-30세,514,14.981055085980763,24.90272373540856
2019,3,31-40세,525,15.301661323229379,23.809523809523807
2019,3,41-50세,656,19.11979014864471,27.59146341463415
2019,3,51-60세,787,22.93791897406004,27.82719186785261
2019,3,61-64세,310,9.035266686097348,26.451612903225808
2019,3,65세 이상,505,14.71874089186826,28.71287128712871
2019,4,20세 이하,153,4.003139717425432,17.647058823529413
2019,4,21-30세,542,14.181057038199896,24.907749077490777
2019,4,31-40세,540,14.128728414442701,30.0
2019,4,41-50세,742,19.413919413919416,28.4366576819407
2019,4,51-60세,933,24.411302982731552,27.224008574490888
2019,4,61-64세,310,8.110936682365253,25.161290322580644
2019,4,65세 이상,602,15.75091575091575,22.757475083056477
2020,1,20세 이하,119,4.465290806754221,30.252100840336134
2020,1,21-30세,382,14.333958724202628,23.036649214659686
2020,1,31-40세,419,15.722326454033771,26.730310262529834
2020,1,41-50세,477,17.89868667917448,24.947589098532493
2020,1,51-60세,681,25.553470919324578,24.669603524229075
2020,1,61-64세,217,8.142589118198874,24.42396313364055
2020,1,65세 이상,370,13.883677298311445,23.783783783783786
2020,2,20세 이하,144,4.619826756496631,24.305555555555554
2020,2,21-30세,458,14.693615656079565,23.362445414847162
2020,2,31-40세,466,14.950272698107153,20.386266094420602
2020,2,41-50세,548,17.58100737888996,21.350364963503647
2020,2,51-60세,737,23.64452999679179,23.202170963364992
2020,2,61-64세,270,8.662175168431183,21.11111111111111
2020,2,65세 이상,494,15.84857234520372,25.506072874493928
2020,3,20세 이하,139,4.17041704170417,25.899280575539567
2020,3,21-30세,536,16.08160816081608,24.813432835820894
2020,3,31-40세,466,13.98139813981398,23.819742489270386
2020,3,41-50세,598,17.94179417941794,24.581939799331103
2020,3,51-60세,802,24.062406240624064,24.81296758104738
2020,3,61-64세,271,8.13081308130813,23.985239852398525
2020,3,65세 이상,521,15.63156315631563,23.032629558541267
2020,4,20세 이하,130,4.021033096195484,26.153846153846157
2020,4,21-30세,526,16.269718527683267,24.14448669201521
2020,4,31-40세,455,14.073615836684194,22.41758241758242
2020,4,41-50세,541,16.733683884936593,25.508317929759706
2020,4,51-60세,787,24.342715743891123,21.346886912325285
2020,4,61-64세,280,8.660686668728735,21.785714285714285
2020,4,65세 이상,514,15.898546241880606,23.73540856031128
2021,1,20세 이하,104,3.751803751803752,22.115384615384613
2021,1,21-30세,424,15.295815295815295,24.056603773584907
2021,1,31-40세,434,15.656565656565657,27.880184331797235
2021,1,41-50세,459,16.558441558441558,28.104575163398692
2021,1,51-60세,655,23.62914862914863,23.969465648854964
2021,1,61-64세,268,9.668109668109668,23.88059701492537
2021,1,65세 이상,428,15.44011544011544,22.429906542056074
2021,2,20세 이하,118,3.9557492457257792,20.33898305084746
2021,2,21-30세,394,13.20817968488099,26.39593908629442
2021,2,31-40세,444,14.884344619510559,23.423423423423422
2021,2,41-50세,517,17.331545424069727,23.791102514506772
2021,2,51-60세,699,23.432785786121354,22.746781115879827
2021,2,61-64세,292,9.788803218236675,23.28767123287671
2021,2,65세 이상,519,17.398592021454913,23.892100192678228
2021,3,20세 이하,115,4.020979020979021,26.956521739130434
2021,3,21-30세,455,15.909090909090908,22.41758241758242
2021,3,31-40세,410,14.335664335664337,20.48780487804878
2021,3,41-50세,493,17.23776223776224,18.66125760649087
2021,3,51-60세,657,22.972027972027973,22.831050228310502
2021,3,61-64세,272,9.51048951048951,24.63235294117647
2021,3,65세 이상,458,16.013986013986013,20.74235807860262
2021,4,20세 이하,90,2.9890401859847224,20.0
2021,4,21-30세,459,15.244104948522086,22.875816993464053
2021,4,31-40세,422,14.015277316506145,21.563981042654028
2021,4,41-50세,543,18.03387578877449,26.703499079189687
2021,4,51-60세,677,22.484224510129525,23.78138847858198
2021,4,61-64세,303,10.0631019594819,21.782178217821784
2021,4,65세 이상,517,17.17037529060113,21.663442940038685
2022,1,20세 이하,72,3.1413612565445024,20.833333333333336
2022,1,21-30세,368,16.05584642233857,24.728260869565215
2022,1,31-40세,327,14.267015706806282,24.464831804281346
2022,1,41-50세,420,18.32460732984293,22.857142857142858
2022,1,51-60세,543,23.69109947643979,25.04604051565378
2022,1,61-64세,198,8.638743455497382,23.737373737373737
2022,1,65세 이상,364,15.881326352530541,20.604395604395602
2022,2,20세 이하,114,4.064171122994653,23.684210526315788
2022,2,21-30세,409,14.581105169340464,22.982885085574573
2022,2,31-40세,403,14.367201426024955,21.09181141439206
2022,2,41-50세,486,17.326203208556148,22.016460905349795
2022,2,51-60세,641,22.85204991087344,24.180967238689547
2022,2,61-64세,271,9.66131907308378,24.723247232472325
2022,2,65세 이상,481,17.14795008912656,26.611226611226613
2022,3,20세 이하,107,3.9747399702823176,26.168224299065418
2022,3,21-30세,377,14.00445765230312,21.220159151193634
2022,3,31-40세,362,13.447251114413076,22.099447513812155
2022,3,41-50세,413,15.341753343239228,19.37046004842615
2022,3,51-60세,587,21.805349182763745,21.80579216354344
2022,3,61-64세,299,11.106983655274888,20.735785953177256
2022,3,65세 이상,547,20.319465081723624,24.862888482632542
2022,4,20세 이하,91,3.233830845771144,26.373626373626376
2022,4,21-30세,412,14.641080312722105,23.300970873786408
2022,4,31-40세,392,13.930348258706468,21.1734693877551
2022,4,41-50세,442,15.707178393745558,26.69683257918552
2022,4,51-60세,642,22.81449893390192,23.20872274143302
2022,4,61-64세,277,9.84363894811656,20.938628158844764
2022,4,65세 이상,558,19.82942430703625,22.759856630824373
2023,1,20세 이하,59,2.48107653490328,32.20338983050847
2023,1,21-30세,346,14.55004205214466,22.254335260115607
2023,1,31-40세,305,12.825904121110177,19.34426229508197
2023,1,41-50세,378,15.895710681244744,21.164021164021165
2023,1,51-60세,572,24.053826745164002,24.65034965034965
2023,1,61-64세,232,9.75609756097561,23.70689655172414
2023,1,65세 이상,486,20.43734230445753,22.016460905349795
2023,2,20세 이하,97,3.5925925925925926,24.742268041237114
2023,2,21-30세,368,13.62962962962963,23.91304347826087
2023,2,31-40세,378,14.000000000000002,25.396825396825395
2023,2,41-50세,415,15.37037037037037,22.89156626506024
2023,2,51-60세,611,22.62962962962963,22.913256955810148
2023,2,61-64세,261,9.666666666666666,19.157088122605366
2023,2,65세 이상,570,21.11111111111111,19.473684210526315
2023,3,20세 이하,98,3.730491054434716,26.53061224489796
2023,3,21-30세,346,13.17091739626951,19.942196531791907
2023,3,31-40세,369,14.046440807004187,21.951219512195124
2023,3,41-50세,389,14.807765511990864,27.249357326478147
2023,3,51-60세,583,22.19261515036163,26.243567753001717
2023,3,61-64세,284,10.81081081081081,26.408450704225352
2023,3,65세 이상,558,21.240959269128286,23.476702508960575
2023,4,20세 이하,77,2.931100114198706,19.480519480519483
2023,4,21-30세,353,13.437381043014845,21.246458923512748
2023,4,31-40세,365,13.894175866006853,23.013698630136986
2023,4,41-50세,433,16.482679862961554,25.17321016166282
2023,4,51-60세,584,22.23068138561096,25.34246575342466
2023,4,61-64세,264,10.049486105824133,23.106060606060606
2023,4,65세 이상,551,20.974495622382946,24.319419237749546
2024,1,20세 이하,61,2.7341999103541013,27.86885245901639
2024,1,21-30세,285,12.774540564769163,26.31578947368421
2024,1,31-40세,303,13.581353653070371,28.052805280528055
2024,1,41-50세,379,16.98789780367548,24.538258575197887
2024,1,51-60세,499,22.36665172568355,24.04809619238477
2024,1,61-64세,214,9.592111160914389,22.897196261682243
2024,1,65세 이상,490,21.963245181532944,24.081632653061224
2024,2,20세 이하,78,3.27455919395466,35.8974358974359
2024,2,21-30세,303,12.720403022670027,24.422442244224424
2024,2,31-40세,291,12.21662468513854,26.46048109965636
2024,2,41-50세,391,16.41477749790092,21.22762148337596
2024,2,51-60세,542,22.753988245172124,21.58671586715867
2024,2,61-64세,257,10.789252728799328,26.07003891050584
2024,2,65세 이상,520,21.8303946263644,23.653846153846153
2024,3,20세 이하,107,4.311039484286865,29.906542056074763
2024,3,21-30세,285,11.482675261885577,21.403508771929825
2024,3,31-40세,321,12.933118452860596,23.05295950155763
2024,3,41-50세,420,16.921837228041902,20.714285714285715
2024,3,51-60세,532,21.434327155519743,25.563909774436087
2024,3,61-64세,254,10.233682514101531,22.83464566929134
2024,3,65세 이상,563,22.683319903303786,20.959147424511546
2024,4,20세 이하,79,3.0775223996883523,22.78481012658228
2024,4,21-30세,304,11.842617841838722,19.407894736842106
2024,4,31-40세,325,12.660693416439422,16.923076923076923
2024,4,41-50세,435,16.94585118815738,22.758620689655174
2024,4,51-60세,575,22.399688352162055,23.47826086956522
2024,4,61-64세,247,9.62212699649396,27.93522267206478
2024,4,65세 이상,602,23.451499805220102,23.920265780730897
2025,1,20세 이하,61,2.845149253731343,26.229508196721312
2025,1,21-30세,254,11.847014925373134,20.866141732283463
2025,1,31-40세,282,13.152985074626866,22.69503546099291
2025,1,41-50세,356,16.6044776119403,23.595505617977526
2025,1,51-60세,473,22.061567164179106,18.816067653276956
2025,1,61-64세,216,10.074626865671641,23.61111111111111
2025,1,65세 이상,502,23.41417910447761,20.119521912350596
2025,2,20세 이하,86,3.4888438133874238,30.23255813953488
2025,2,21-30세,272,11.03448275862069,20.955882352941178
2025,2,31-40세,327,13.265720081135903,18.960244648318042
2025,2,41-50세,409,16.592292089249494,24.205378973105134
2025,2,51-60세,568,23.04259634888438,17.781690140845072
2025,2,61-64세,247,10.020283975659229,25.101214574898783
2025,2,65세 이상,556,22.55578093306288,19.784172661870503
2025,3,20세 이하,76,2.948021722265322,31.57894736842105
2025,3,21-30세,280,10.861132660977502,22.5
2025,3,31-40세,326,12.645461598138091,25.153374233128833
2025,3,41-50세,415,16.097750193948798,23.132530120481928
2025,3,51-60세,550,21.334367726920092,23.454545454545457
2025,3,61-64세,284,11.016291698991466,25.0
2025,3,65세 이상,647,25.096974398758725,22.256568778979908
2025,4,20세 이하,66,2.5902668759811616,28.78787878787879
2025,4,21-30세,262,10.282574568288853,20.99236641221374
2025,4,31-40세,315,12.362637362637363,23.174603174603174
2025,4,41-50세,437,17.150706436420723,24.94279176201373
2025,4,51-60세,541,21.232339089481947,25.508317929759706
2025,4,61-64세,274,10.75353218210361,18.97810218978102
2025,4,65세 이상,653,25.62794348508634,21.592649310872893
