연도,분기,가해운전자 연령대,건수,비율,중대사고비율
2016,1,20세 이하,156,5.386740331491713,19.230769230769234
2016,1,21-30세,416,14.3646408839779,31.73076923076923
2016,1,31-40세,474,16.367403314917127,30.801687763713083
2016,1,41-50세,668,23.066298342541437,32.035928143712574
2016,1,51-60세,700,24.171270718232044,32.57142857142858
2016,1,61-64세,200,6.906077348066299,33.0
2016,1,65세 이상,282,9.737569060773481,31.20567375886525
2016,2,20세 이하,187,5.899053627760252,27.807486631016044
2016,2,21-30세,470,14.826498422712934,30.638297872340424
2016,2,31-40세,492,15.520504731861198,30.89430894308943
2016,2,41-50세,680,21.451104100946374,32.94117647058823
2016,2,51-60세,769,24.258675078864353,31.98959687906372
2016,2,61-64세,207,6.529968454258675,34.29951690821256
2016,2,65세 이상,365,11.514195583596216,33.42465753424658
2016,3,20세 이하,179,5.913445655764784,29.05027932960894
2016,3,21-30세,455,15.031384208787578,34.72527472527472
2016,3,31-40세,465,15.361744301288404,27.741935483870968
2016,3,41-50세,624,20.614469772051535,34.294871794871796
2016,3,51-60세,694,22.926990419557317,29.53890489913545
2016,3,61-64세,236,7.796498183019492,36.016949152542374
2016,3,65세 이상,374,12.355467459530889,31.283422459893046
2016,4,20세 이하,154,4.8230504227998745,23.376623376623375
2016,4,21-30세,453,14.187284685248983,32.450331125827816
2016,4,31-40세,498,15.59661760100219,33.93574297188755
2016,4,41-50세,702,21.98559348575008,35.8974358974359
2016,4,51-60세,739,23.144378327591607,34.64140730717185
2016,4,61-64세,267,8.36204196680238,32.58426966292135
2016,4,65세 이상,380,11.901033510804886,35.26315789473684
2017,1,20세 이하,134,4.797708557107053,23.134328358208954
2017,1,21-30세,432,15.467239527389903,27.77777777777778
2017,1,31-40세,414,14.822771213748656,35.26570048309179
2017,1,41-50세,567,20.30075187969925,33.86243386243386
2017,1,51-60세,681,24.382384532760472,33.480176211453745
2017,1,61-64세,219,7.841031149301826,31.05022831050228
2017,1,65세 이상,346,12.38811313999284,35.54913294797688
2017,2,20세 이하,145,4.750982961992136,24.137931034482758
2017,2,21-30세,460,15.072083879423328,29.565217391304348
2017,2,31-40세,480,15.727391874180865,31.874999999999996
2017,2,41-50세,625,20.478374836173003,31.52
2017,2,51-60세,743,24.344692005242464,32.97442799461642
2017,2,61-64세,228,7.470511140235911,33.33333333333333
2017,2,65세 이상,371,12.155963302752294,33.9622641509434
2017,3,20세 이하,150,4.790801660811242,21.333333333333336
2017,3,21-30세,457,14.595975726604918,30.85339168490153
2017,3,31-40세,488,15.586074736505909,34.63114754098361
2017,3,41-50세,616,19.674225487064838,32.142857142857146
2017,3,51-60세,792,25.29543276908336,31.313131313131315
2017,3,61-64세,244,7.793037368252954,33.19672131147541
2017,3,65세 이상,384,12.26445225167678,33.07291666666667
2017,4,20세 이하,140,4.282655246252676,25.71428571428571
2017,4,21-30세,478,14.62220862649128,27.19665271966527
2017,4,31-40세,481,14.713979810339554,28.482328482328484
2017,4,41-50세,662,20.250841235851944,33.23262839879154
2017,4,51-60세,805,24.62526766595289,34.037267080745345
2017,4,61-64세,299,9.146527990211075,30.434782608695656
2017,4,65세 이상,404,12.358519424900582,28.217821782178216
2018,1,20세 이하,100,3.543586109142452,27.0
2018,1,21-30세,401,14.209780297661235,28.428927680798004
2018,1,31-40세,393,13.926293408929839,30.788804071246815
2018,1,41-50세,534,18.922749822820695,28.83895131086142
2018,1,51-60세,724,25.655563430191354,30.801104972375693
2018,1,61-64세,269,9.532246633593196,33.08550185873606
2018,1,65세 이상,401,14.209780297661235,31.67082294264339
2018,2,20세 이하,138,4.316546762589928,19.565217391304348
2018,2,21-30세,475,14.857679074132,31.157894736842106
2018,2,31-40세,483,15.107913669064748,29.606625258799173
2018,2,41-50세,626,19.580857053487644,33.06709265175719
2018,2,51-60세,768,24.02252111354395,27.473958333333332
2018,2,61-64세,275,8.601814200813262,25.818181818181817
2018,2,65세 이상,432,13.512668126368471,28.009259259259263
2018,3,20세 이하,133,4.140722291407223,21.052631578947366
2018,3,21-30세,457,14.227895392278956,28.227571115973742
2018,3,31-40세,503,15.660024906600247,28.628230616302186
2018,3,41-50세,602,18.742216687422168,25.74750830564784
2018,3,51-60세,787,24.50186799501868,32.02033036848793
2018,3,61-64세,286,8.904109589041095,33.91608391608392
