연도,분기,가해운전자 성별,건수,비율,중대사고비율
2016,1,남,2257,77.93508287292818,31.76783340717767
2016,1,여,639,22.064917127071823,29.26447574334898
2016,2,남,2430,76.65615141955836,31.68724279835391
2016,2,여,740,23.34384858044164,32.567567567567565
2016,3,남,2373,78.39444995044599,31.774125579435314
2016,3,여,654,21.605550049554015,31.49847094801223
2016,4,남,2480,77.66990291262135,35.0
2016,4,여,713,22.330097087378643,29.873772791023846
2017,1,남,2210,79.1263873970641,32.39819004524887
2017,1,여,583,20.87361260293591,32.933104631217844
2017,2,남,2316,75.88466579292268,31.692573402417963
2017,2,여,736,24.11533420707733,31.793478260869566
2017,3,남,2413,77.06802938358352,32.73932863655201
2017,3,여,718,22.931970616416482,28.690807799442897
2017,4,남,2536,77.57724074640564,30.914826498422716
2017,4,여,733,22.42275925359437,29.740791268758528
2018,1,남,2176,77.10843373493977,30.37683823529412
2018,1,여,646,22.89156626506024,30.030959752321984
2018,2,남,2425,75.85236158898968,29.27835051546392
2018,2,여,772,24.147638411010323,28.238341968911918
2018,3,남,2416,75.21793275217932,29.304635761589402
2018,3,여,796,24.78206724782067,29.145728643216078
2018,4,남,2408,74.11511234225915,29.817275747508305
2018,4,여,841,25.884887657740848,29.845422116527942
2019,1,남,2286,75.3957783641161,28.521434820647418
2019,1,여,746,24.604221635883906,23.726541554959784
2019,2,남,2642,74.08861469433539,28.236184708554124
2019,2,여,924,25.91138530566461,24.783549783549784
2019,3,남,2543,74.83814008240142,27.09398348407393
2019,3,여,855,25.16185991759859,23.742690058479532
2019,4,남,2814,74.38540840602697,26.439232409381663
2019,4,여,969,25.614591593973035,25.077399380804955
2020,1,남,2031,76.67044167610419,24.81536189069424
2020,1,여,618,23.32955832389581,24.919093851132686
2020,2,남,2351,76.10877306571706,22.75627392598894
2020,2,여,738,23.89122693428294,22.22222222222222
2020,3,남,2491,75.34785238959468,24.729024488157368
2020,3,여,815,24.652147610405322,22.45398773006135
2020,4,남,2404,74.91430352134621,23.252911813643927
2020,4,여,805,25.085696478653784,22.48447204968944
2021,1,남,2043,74.20995277878679,25.305922662750856
2021,1,여,710,25.790047221213218,23.52112676056338
2021,2,남,2149,72.84745762711864,24.383434155421128
2021,2,여,801,27.152542372881356,21.098626716604244
2021,3,남,2147,75.75864502470007,22.030740568234748
2021,3,여,687,24.24135497529993,20.232896652110625
2021,4,남,2223,74.3975903614458,24.471434997750787
2021,4,여,765,25.602409638554217,18.954248366013072
2022,1,남,1716,75.42857142857143,22.96037296037296
2022,1,여,559,24.571428571428573,24.686940966010734
2022,2,남,2005,71.96697774587221,24.88778054862843
2022,2,여,781,28.033022254127783,20.102432778489117
2022,3,남,1973,73.86746536877574,22.351748606183477
2022,3,여,698,26.132534631224257,21.060171919770774
2022,4,남,2037,72.98459333572195,23.46588119783996
2022,4,여,754,27.015406664278036,21.750663129973475
2023,1,남,1747,73.65092748735245,23.125357756153406
2023,1,여,625,26.349072512647552,21.279999999999998
2023,2,남,1918,71.88905547226386,22.888425443169968
2023,2,여,750,28.11094452773613,19.6
2023,3,남,1955,74.41948991244766,24.85933503836317
2023,3,여,672,25.580510087552337,23.065476190476193
2023,4,남,1893,72.05938332698895,24.300052826201796
2023,4,여,734,27.940616673011036,22.615803814713896
2024,1,남,1630,73.0614074406096,25.214723926380366
2024,1,여,601,26.938592559390408,24.292845257903494
2024,2,남,1671,70.15113350125944,24.536205864751643
2024,2,여,711,29.848866498740556,22.362869198312236
2024,3,남,1785,71.91780821917808,23.19327731092437
2024,3,여,697,28.08219178082192,21.8077474892396
2024,4,남,1775,69.1468640436307,23.098591549295776
2024,4,여,792,30.853135956369304,21.338383838383837
2025,1,남,1555,72.52798507462687,22.186495176848876
2025,1,여,589,27.472014925373134,19.185059422750424
2025,2,남,1748,70.91277890466532,20.652173913043477
2025,2,여,717,29.087221095334687,21.75732217573222
2025,3,남,1801,69.86035686578744,25.26374236535258
2025,3,여,777,30.13964313421257,19.81981981981982
2025,4,남,1786,70.09419152276296,23.96416573348264
2025,4,여,762,29.905808477237052,20.866141732283463
